language,fact_id,subject,relation,question,options,golden_answer,predicted_answer,is_correct
afr,Q191954_P1001_Q142,President van Frankryk,P1001,President van Frankryk is 'n wettige term in _____.,"['Nigerië', 'Italië', 'Jamaika', 'Frankryk']",Frankryk,Frankryk,True
afr,Q839078_P1001_Q16,Kategorie:Eerste Ministers van Kanada,P1001,Kategorie:Eerste Ministers van Kanada is 'n wettige term in _____.,"['Kanada', 'Guyana', 'Indonesië', 'Bolivië']",Kanada,Kanada,True
afr,Q5176750_P1001_Q155,President van Brasilië,P1001,President van Brasilië is 'n wettige term in _____.,"['Libië', 'Japan', 'Skotland', 'Brasilië']",Brasilië,Brasilië,True
afr,Q319145_P1001_Q408,Eerste Minister van Australië,P1001,Eerste Minister van Australië is 'n wettige term in _____.,"['Kuba', 'Viëtnam', 'Australië', 'Turkye']",Australië,Australië,True
afr,Q475689_P1001_Q16,Parlement van Kanada,P1001,Parlement van Kanada is 'n wettige term in _____.,"['Bolivië', 'Kanada', 'Nigerië', 'Haïti']",Kanada,Kanada,True
afr,Q133396_P1001_Q801,Knesset,P1001,Knesset is 'n wettige term in _____.,"['Pakistan', 'Japan', 'Argentinië', 'Israel']",Israel,Israel,True
afr,Q796897_P1001_Q38,Eerste minister van Italië,P1001,Eerste minister van Italië is 'n wettige term in _____.,"['Japan', 'Skotland', 'Italië', 'Kenia']",Italië,Italië,True
afr,Q191827_P1001_Q27,Taoiseach,P1001,Taoiseach is 'n wettige term in _____.,"['Indonesië', 'Japan', 'Tibet', 'Republiek van Ierland']",Republiek van Ierland,Republiek van Ierland,True
afr,Q274948_P1001_Q17,Eerste Minister van Japan,P1001,Eerste Minister van Japan is 'n wettige term in _____.,"['Japan', 'Duitsland', 'Frankryk', 'Haïti']",Japan,Japan,True
afr,Q98964_P1001_Q36,Sejm,P1001,Sejm is 'n wettige term in _____.,"['Pole', 'Bolivië', 'Nederland', 'Switserland']",Pole,Pole,True
afr,Q213702_P1001_Q27,President van Ierland,P1001,President van Ierland is 'n wettige term in _____.,"['Noorweë', 'Republiek van Ierland', 'Libië', 'Tanzanië']",Republiek van Ierland,Republiek van Ierland,True
afr,Q259502_P1001_Q408,Australiese dollar,P1001,Australiese dollar is 'n wettige term in _____.,"['Tibet', 'Australië', 'Malawi', 'Switserland']",Australië,Australië,True
