row_index,original_lang,original_script,original_sentence,generated_first_n_tokens_sentence,detected_lang,detected_script,is_english
0,ace,Arab,"""کامو جينو نا تيكويه عمو ٤ بولن ڽڠ هانا ديابيتيس ڽڠ اوايجيه ساکيت ديابيتيس،"" غتامه لى غوبڽن.","ترجمه این متن از زبان محلی به فارسی به این صورت می‌شود:

""کام",fas,UNKNOWN,False
1,ace,Arab,در. ايهود اور، ڤروفيسور کدوکترن بق يونيۏرسيتس دلهاوسي دي هليفاک‌س، نوفا سکوتيا ڠون کڤالا ديۏيسي كلينيس ڠون علميه دري اسوسياسي ديابيتيس کانادا ݢڤئيڠت بهوا ڤنليتين ڽو منتوڠ لم ماس ڽڠ کفون.,در. ايهود اور یک پروفسور دکترا و متخصص در زمینه کمک‌های اولیه,fas,UNKNOWN,False
2,ace,Arab,لݢى لادوم اورڠ چاروڠ لاءينجيه، غوبڽن راݢو ڤکوه ڤثاکيت ديابيتيس جوت ڤولي، سبب ڽڠ جيتومى ڽو هانا مسڠكوت دڠن اورڠ ڽڠ كا مڤثاکيت ديابيتيس جنيه ١.,"لغت و معنى این جمله به زبان اردو به شرح زیر است:

""",fas,UNKNOWN,False
3,ace,Arab,بق اورو سنين، سارا دانيوس، سيکريتاريس تتڤ کوميتى نوبل سسترا بق اكاديمي سويديا، ݢعمومکن ڠون بق مندوم اورڠ لم ماس ڤروݢرم راديو دي راديو سۏاريا دي سويديا کوميتى ڽن، هن جوت مسمبوڠ دڠن بوب ديلان ڠون لانسوڠ تنتڠ کمنڠن هديه نوبل ٢٠١٦ لم سسترا، كا ݢڤتيڠݢاي اوساها کى مسمبوڠ دڠن غوبڽن.,برای سال‌های طولانی، سارا دانیوس، دبیر کمیته نوبل آکادمی علوم سوئد، به,fas,UNKNOWN,False
4,ace,Arab,"دانيوس خن، ""جينو كامو هان مبوت سڤو. لون کا لون تليڤون ڠون لون کيريم ايمايل کى کولابوراتور ݢوبڽن ڽڠ ڤاليڠ رب ڠون لون تريموڠ باله ڽڠ ڤاليڠ روميه. جينو، ڽن کا سيڤ.",يبدو أن النص الذي قدمته مكتوب بلغة غير معروفة أو ربما مز,ara,UNKNOWN,False
5,ace,Arab,سيݢوهلوم غوبڽن، سي.اي.او. ريڠ، جامي سيمينوف، ݢخن کى ڤراوسهاءن فون واتى بيل ڤنتو غوبڽن هان جوت مدڠو دري كدى غوبڽن لم ݢرسي غوبڽن.,"به زبان فارسی، جمله شما چنین ترجمه می‌شود:

""سیگملوم گ",fas,UNKNOWN,False
6,ace,Arab,غوبڽن ڤݢوت بيل ڤنتو وايفاي، جخن لى غوبڽن.,غوب��ن (Googn) ����وت (Vog,som,UNKNOWN,False
7,ace,Arab,سيمينوف خن حسى مکت ݢاءيق لهوه ڤياسن غوبڽن بق تهون ٢٠١٣ لم ايڤيسودى شارک تاڠ‌ک لم ڤت ڤانل اچارا تولا بري دانا کى ستارتوڤ.,يبدو أن النص الذي قدمته مكتوب بلغة غير معروفة أو مزيج من,ara,UNKNOWN,False
8,ace,Arab,بق اخى ٢٠١٧، سيمينوف توک بق سالورن تيليۏيسي بلنجا کيو.ۏي.سي.,بق اخی �������� می��، س,urd,UNKNOWN,False
9,ace,Arab,ريڠ ݢسلسو چيت ݢوݢتن ڠون ڤروسهاءن کأمنن لاون، أي.دي.تي کورڤوراشين.,ري�� ��سلسو (Rig Veda) چيت ,urd,UNKNOWN,False
10,ace,Arab,ادقڤيه سابوه ۏکسين ايکسڤريمينتل دوهجيه جوت کى ڤکورڠ ماس اودڤ ايبولا، سمڤو جينو، هان اوبت ڽڠ بتوي لومه جوت کى ڤأوبت اينڤيکسي ڽڠ نا.,ادق��يه سابوه (Experimental Dual-Layered Vaccine) کا هدف,cat,UNKNOWN,False
11,ace,Arab,سابوه کوکتيل انتيبودي، زماڤ، ڽڠ اوايجيه ڤلومه هارڤن لم لڤڠن ڽن، تتقجيه ستودي فورمل جڤلومه بهوا ݢوناجيه لوبيه اوبيت نيبق ڽڠ تميتا لم تتهام ماوت.,به نظر می‌رسد که متن ارائه‌شده ترکیبی از زبان‌های مختلف، احتمالاً,fas,UNKNOWN,False
